Time,1,2,3,R1,V_C1,R2,V1
0.294,5.07404,4.92596,10,-0.507404,0.507404,-0.507404,0.507404
0.295,5.07429,4.92571,10,-0.507429,0.507429,-0.507429,0.507429
0.296,5.07455,4.92545,10,-0.507455,0.507455,-0.507455,0.507455
0.297,5.0748,4.9252,10,-0.50748,0.50748,-0.50748,0.50748
0.298,5.07506,4.92494,10,-0.507506,0.507506,-0.507506,0.507506
0.299,5.07531,4.92469,10,-0.507531,0.507531,-0.507531,0.507531
0.3,5.07556,4.92444,10,-0.507556,0.507556,-0.507556,0.507556
0.301,5.07582,4.92418,10,-0.507582,0.507582,-0.507582,0.507582
0.302,5.07607,4.92393,10,-0.507607,0.507607,-0.507607,0.507607
0.303,5.07632,4.92368,10,-0.507632,0.507632,-0.507632,0.507632
0.304,5.07658,4.92342,10,-0.507658,0.507658,-0.507658,0.507658
0.305,5.07683,4.92317,10,-0.507683,0.507683,-0.507683,0.507683
0.306,5.07709,4.92291,10,-0.507709,0.507709,-0.507709,0.507709
0.307,5.07734,4.92266,10,-0.507734,0.507734,-0.507734,0.507734
0.308,5.07759,4.92241,10,-0.507759,0.507759,-0.507759,0.507759
0.309,5.07785,4.92215,10,-0.507785,0.507785,-0.507785,0.507785
0.31,5.0781,4.9219,10,-0.50781,0.50781,-0.50781,0.50781
0.311,5.07836,4.92164,10,-0.507836,0.507836,-0.507836,0.507836
0.312,5.07861,4.92139,10,-0.507861,0.507861,-0.507861,0.507861
0.313,5.07886,4.92114,10,-0.507886,0.507886,-0.507886,0.507886
0.314,5.07912,4.92088,10,-0.507912,0.507912,-0.507912,0.507912
0.315,5.07937,4.92063,10,-0.507937,0.507937,-0.507937,0.507937
0.316,5.07963,4.92037,10,-0.507963,0.507963,-0.507963,0.507963
0.317,5.07988,4.92012,10,-0.507988,0.507988,-0.507988,0.507988
0.318,5.08013,4.91987,10,-0.508013,0.508013,-0.508013,0.508013
0.319,5.08039,4.91961,10,-0.508039,0.508039,-0.508039,0.508039
0.32,5.08064,4.91936,10,-0.508064,0.508064,-0.508064,0.508064
0.321,5.0809,4.9191,10,-0.50809,0.50809,-0.50809,0.50809
0.322,5.08115,4.91885,10,-0.508115,0.508115,-0.508115,0.508115
0.323,5.0814,4.9186,10,-0.50814,0.50814,-0.50814,0.50814
0.324,5.08166,4.91834,10,-0.508166,0.508166,-0.508166,0.508166
0.325,5.08191,4.91809,10,-0.508191,0.508191,-0.508191,0.508191
0.326,5.08217,4.91783,10,-0.508217,0.508217,-0.508217,0.508217
0.327,5.08242,4.91758,10,-0.508242,0.508242,-0.508242,0.508242
0.328,5.08267,4.91733,10,-0.508267,0.508267,-0.508267,0.508267
0.329,5.08293,4.91707,10,-0.508293,0.508293,-0.508293,0.508293
0.33,5.08318,4.91682,10,-0.508318,0.508318,-0.508318,0.508318
0.331,5.08344,4.91656,10,-0.508344,0.508344,-0.508344,0.508344
0.332,5.08369,4.91631,10,-0.508369,0.508369,-0.508369,0.508369
0.333,5.08394,4.91606,10,-0.508394,0.508394,-0.508394,0.508394
0.334,5.0842,4.9158,10,-0.50842,0.50842,-0.50842,0.50842
0.335,5.08445,4.91555,10,-0.508445,0.508445,-0.508445,0.508445
0.336,5.08471,4.91529,10,-0.508471,0.508471,-0.508471,0.508471
0.337,5.08496,4.91504,10,-0.508496,0.508496,-0.508496,0.508496
0.338,5.08522,4.91478,10,-0.508522,0.508522,-0.508522,0.508522
0.339,5.08547,4.91453,10,-0.508547,0.508547,-0.508547,0.508547
0.34,5.08572,4.91428,10,-0.508572,0.508572,-0.508572,0.508572
0.341,5.08598,4.91402,10,-0.508598,0.508598,-0.508598,0.508598
0.342,5.08623,4.91377,10,-0.508623,0.508623,-0.508623,0.508623
0.343,5.08649,4.91351,10,-0.508649,0.508649,-0.508649,0.508649
0.344,5.08674,4.91326,10,-0.508674,0.508674,-0.508674,0.508674
0.345,5.087,4.913,10,-0.5087,0.5087,-0.5087,0.5087
0.346,5.08725,4.91275,10,-0.508725,0.508725,-0.508725,0.508725
0.347,5.0875,4.9125,10,-0.50875,0.50875,-0.50875,0.50875
0.348,5.08776,4.91224,10,-0.508776,0.508776,-0.508776,0.508776
0.349,5.08801,4.91199,10,-0.508801,0.508801,-0.508801,0.508801
0.35,5.08827,4.91173,10,-0.508827,0.508827,-0.508827,0.508827
0.351,5.08852,4.91148,10,-0.508852,0.508852,-0.508852,0.508852
0.352,5.08878,4.91122,10,-0.508878,0.508878,-0.508878,0.508878
0.353,5.08903,4.91097,10,-0.508903,0.508903,-0.508903,0.508903
0.354,5.08929,4.91071,10,-0.508929,0.508929,-0.508929,0.508929
0.355,5.08954,4.91046,10,-0.508954,0.508954,-0.508954,0.508954
0.356,5.08979,4.91021,10,-0.508979,0.508979,-0.508979,0.508979
0.357,5.09005,4.90995,10,-0.509005,0.509005,-0.509005,0.509005
0.358,5.0903,4.9097,10,-0.50903,0.50903,-0.50903,0.50903
0.359,5.09056,4.90944,10,-0.509056,0.509056,-0.509056,0.509056
0.36,5.09081,4.90919,10,-0.509081,0.509081,-0.509081,0.509081
0.361,5.09107,4.90893,10,-0.509107,0.509107,-0.509107,0.509107
0.362,5.09132,4.90868,10,-0.509132,0.509132,-0.509132,0.509132
0.363,5.09158,4.90842,10,-0.509158,0.509158,-0.509158,0.509158
0.364,5.09183,4.90817,10,-0.509183,0.509183,-0.509183,0.509183
0.365,5.09209,4.90791,10,-0.509209,0.509209,-0.509209,0.509209
